0,NA
1,Plasmablast
2,Th2/activated
3,Treg/activated
4,CD8Naive
5,Treg
6,CD11cnegCD14neg
7,CD3T
8,EarlyNK
9,CD66bnegCD45lo
10,CD123negCD3neg
